name,smiles,hsp_d,hsp_p,hsp_h,chem21_score,gsk_score,boiling_point,log_kow,density,ld50_rat_oral,voc,biodegradable,waste_class,family
Acetic acid,CC(=O)O,14.5,8.0,13.5,5.7,5,118.0,0.0,1.05,3310.0,1,0,problematic,acids
Acetone,CC(C)=O,15.5,10.4,7.0,5.7,5,56.0,0.0,0.79,5800.0,1,0,problematic,ketones
Acetonitrile,CC#N,15.3,18.0,6.1,6.7,9,82.0,0.0,0.79,2460.0,1,1,recommended,aprotic polar
Anisole,COc1ccccc1,17.8,4.1,6.7,6.7,5,154.0,0.0,0.99,3700.0,0,0,problematic,ethers
Benzene,c1ccccc1,18.4,0.0,2.0,3.7,2,80.0,0.0,0.88,930.0,1,0,hazardous,hydrocarbons
Chlorobenzene,Clc1ccccc1,19.0,4.3,2.0,6.0,5,132.0,0.0,1.11,2910.0,1,0,problematic,halogenated
Chloroform,ClC(Cl)Cl,17.8,3.1,5.7,5.3,5,61.0,0.0,1.48,908.0,1,0,problematic,halogenated
Cyclohexane,C1CCCCC1,16.8,0.0,0.2,4.7,5,81.0,0.0,0.78,12705.0,1,0,problematic,hydrocarbons
Dichloromethane,ClCCl,17.0,7.3,7.1,5.0,2,40.0,0.0,1.33,1600.0,1,0,hazardous,halogenated
Diethyl ether,CCOCC,14.5,2.9,5.1,3.3,2,34.0,0.0,0.71,1215.0,1,0,hazardous,ethers
Dimethyl sulfoxide,CS(C)=O,18.4,16.4,10.2,7.7,9,189.0,0.0,1.1,14500.0,0,1,recommended,aprotic polar
Ethanol,CCO,15.8,8.8,19.4,6.7,9,78.0,0.0,0.79,7060.0,1,1,recommended,alcohols
Ethyl acetate,CCOC(=O)C,15.8,5.3,7.2,6.3,9,77.0,0.0,0.9,11300.0,1,1,recommended,esters
Ethylene glycol,OCCO,17.0,11.0,26.0,7.3,9,198.0,0.0,1.11,4700.0,0,1,recommended,alcohols
Formic acid,OC=O,14.3,11.9,16.6,5.7,5,101.0,0.0,1.22,1100.0,1,0,problematic,acids
Heptane,CCCCCCC,15.3,0.0,0.0,5.0,5,98.0,0.0,0.68,5000.0,1,0,problematic,hydrocarbons
Hexane,CCCCCC,14.9,0.0,0.0,2.7,2,69.0,0.0,0.66,28710.0,1,0,hazardous,hydrocarbons
Methanol,CO,14.7,12.3,22.3,4.7,5,65.0,0.0,0.79,5628.0,1,0,problematic,alcohols
Methyl ethyl ketone,CCC(C)=O,16.0,9.0,5.1,6.3,9,80.0,0.0,0.81,2737.0,1,1,recommended,ketones
Methyl tert-butyl ether,COC(C)(C)C,14.8,4.3,5.0,4.7,2,55.0,0.0,0.74,3800.0,1,0,hazardous,ethers
Pyridine,c1ccncc1,19.0,8.8,5.9,7.0,9,115.0,0.0,0.98,891.0,1,1,recommended,amines
Tetrahydrofuran,C1CCOC1,16.8,5.7,8.0,4.0,5,66.0,0.0,0.89,2816.0,1,0,problematic,ethers
Toluene,Cc1ccccc1,18.0,1.4,2.0,5.3,5,111.0,0.0,0.87,636.0,1,0,problematic,hydrocarbons
Water,O,15.5,16.0,42.3,9.0,9,100.0,0.0,1.0,90000.0,0,1,recommended,water
DMF,CN(C)C=O,17.4,13.7,11.3,4.0,3,153.0,-1.0,0.944,2800.0,0,0,hazardous,aprotic polar
DMSO,CS(C)=O,18.4,16.4,10.2,7.7,9,189.0,-1.35,1.10,14500.0,0,1,recommended,aprotic polar
Ethyl Lactate,CCOC(=O)C(O)C,16.0,7.6,12.5,8.3,9,154.0,-0.3,1.03,5000.0,0,1,recommended,esters
2-MeTHF,CC1CCCO1,16.9,4.1,4.6,7.7,8,80.0,1.0,0.86,3000.0,1,1,recommended,ethers
Cyclopentyl Methyl Ether,COC1CCCC1,16.3,4.3,4.3,7.3,8,106.0,1.5,0.86,2000.0,1,1,recommended,ethers
Propylene Carbonate,CC1COC(=O)O1,20.0,18.0,4.1,8.0,9,242.0,-0.4,1.20,29000.0,0,1,recommended,carbonate
Glycerol,C(C(CO)O)O,17.4,12.1,29.3,8.7,9,290.0,-1.8,1.26,12600.0,0,1,recommended,polyol
